CustomerID,Age,Income,Gender,City,Signup_Date,Plan,Monthly_Spend,Support_Tickets,Churn
1,34,72000,Male,New York,2023-01-15,Premium,89.5,1,No
2,28,45000,Female,Los Angeles,2023-02-20,Basic,45.0,3,Yes
3,45,95000,Male,Chicago,2023-01-10,Premium,120.0,0,No
4,23,32000,Female,Houston,2023-03-05,Basic,30.0,5,Yes
5,52,110000,Male,New York,2022-11-01,Enterprise,200.0,0,No
6,31,,Female,Los Angeles,2023-04-12,Basic,55.0,2,No
7,41,88000,,Chicago,2023-02-28,Premium,95.0,1,No
8,29,48000,Female,,2023-05-15,Basic,40.0,4,Yes
9,37,76000,Male,Houston,2023-01-22,Premium,85.0,,No
10,26,38000,Female,New York,2023-06-01,Basic,35.0,6,Yes
11,48,102000,Male,Chicago,,Enterprise,180.0,0,No
12,33,65000,Female,Los Angeles,2023-03-18,Premium,78.0,2,No
13,55,120000,Male,New York,2022-10-05,Enterprise,220.0,0,No
14,22,28000,Female,Houston,2023-07-10,Basic,25.0,7,Yes
15,39,82000,Male,Chicago,2023-02-14,Premium,92.0,1,No
16,27,42000,Female,Los Angeles,2023-04-22,Basic,48.0,3,Yes
17,44,97000,Male,New York,2023-01-30,Premium,115.0,0,No
18,30,52000,Female,Houston,2023-05-20,Basic,50.0,2,No
19,36,70000,Male,Chicago,2023-03-10,Premium,80.0,1,No
20,25,35000,Female,Los Angeles,2023-06-15,Basic,32.0,5,Yes
21,50,108000,Male,New York,2022-12-01,Enterprise,195.0,0,No
22,34,72000,Male,New York,2023-01-15,Premium,89.5,1,No
23,42,90000,Female,Chicago,2023-02-05,Premium,100.0,1,No
24,29,,Male,Houston,2023-04-01,Basic,42.0,4,Yes
25,38,78000,Female,Los Angeles,2023-03-25,Premium,88.0,1,No
26,46,100000,,New York,2023-01-08,Enterprise,185.0,0,No
27,24,30000,Female,Houston,2023-07-22,Basic,28.0,6,Yes
28,35,68000,Male,Chicago,2023-02-18,Premium,75.0,2,No
29,53,115000,Male,New York,2022-09-15,Enterprise,210.0,,No
30,32,58000,Female,Los Angeles,2023-05-05,Basic,52.0,3,Yes
